run_id,strategy,seed,fault_kind,failure_position,uncertainty_duration_ms,final_state_correct,duplicate_effects,recovery_amplification,recovery_latency_ms,late_recovery_latency_ms,repeated_external_calls,repeated_mutating_calls,verification_reads,runtime_replayed_operations,contradiction_detected,instrumentation_ns,instrumentation_pct
restart-seed42-u100-reserve_a,restart,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,False,0,1.0,100,0,1,1,1,4,True,19791,9.350108189317131
checkpoint-seed42-u100-reserve_a,checkpoint,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,False,0,0.75,100,0,1,1,1,3,True,11459,9.77663640707119
blocking-seed42-u100-reserve_a,blocking,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,True,0,0.0,150,,0,0,3,0,False,4916,6.145
restart-seed42-u500-reserve_a,restart,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,False,0,1.0,500,0,1,1,1,4,True,12249,11.047576099210824
checkpoint-seed42-u500-reserve_a,checkpoint,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,False,0,0.75,500,0,1,1,1,3,True,10752,10.68075933523399
blocking-seed42-u500-reserve_a,blocking,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,True,0,0.0,750,,0,0,5,0,False,4958,4.8409931944891955
restart-seed42-u1000-reserve_a,restart,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,False,0,1.0,1000,0,1,1,1,4,True,11543,11.090081088351717
checkpoint-seed42-u1000-reserve_a,checkpoint,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,False,0,0.75,1000,0,1,1,1,3,True,10415,10.60493437464998
blocking-seed42-u1000-reserve_a,blocking,42,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,True,0,0.0,1550,,0,0,6,0,False,4749,4.101355027592818
restart-seed43-u100-reserve_a,restart,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,False,0,1.0,100,0,1,1,1,4,True,11542,11.251267254152694
checkpoint-seed43-u100-reserve_a,checkpoint,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,False,0,0.75,100,0,1,1,1,3,True,10250,10.718954248366012
blocking-seed43-u100-reserve_a,blocking,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,True,0,0.0,150,,0,0,3,0,False,4499,6.442512852089986
restart-seed43-u500-reserve_a,restart,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,False,0,1.0,500,0,1,1,1,4,True,11377,11.135689606232932
checkpoint-seed43-u500-reserve_a,checkpoint,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,False,0,0.75,500,0,1,1,1,3,True,11333,11.769531939641295
blocking-seed43-u500-reserve_a,blocking,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,True,0,0.0,750,,0,0,5,0,False,4708,4.814299738219895
restart-seed43-u1000-reserve_a,restart,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,False,0,1.0,1000,0,1,1,1,4,True,11751,11.625100165210767
checkpoint-seed43-u1000-reserve_a,checkpoint,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,False,0,0.75,1000,0,1,1,1,3,True,10249,10.629868176773806
blocking-seed43-u1000-reserve_a,blocking,43,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,True,0,0.0,1550,,0,0,6,0,False,4667,4.171620111731843
restart-seed44-u100-reserve_a,restart,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,False,0,1.0,100,0,1,1,1,4,True,11416,11.21965601965602
checkpoint-seed44-u100-reserve_a,checkpoint,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,False,0,0.75,100,0,1,1,1,3,True,10167,10.697375896971865
blocking-seed44-u100-reserve_a,blocking,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,100,True,0,0.0,150,,0,0,3,0,False,4583,6.451113425860758
restart-seed44-u500-reserve_a,restart,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,False,0,1.0,500,0,1,1,1,4,True,11669,11.426193390452877
checkpoint-seed44-u500-reserve_a,checkpoint,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,False,0,0.75,500,0,1,1,1,3,True,10207,10.777336655826328
blocking-seed44-u500-reserve_a,blocking,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,500,True,0,0.0,750,,0,0,5,0,False,4541,4.552380952380952
restart-seed44-u1000-reserve_a,restart,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,False,0,1.0,1000,0,1,1,1,4,True,11293,11.373639101227704
checkpoint-seed44-u1000-reserve_a,checkpoint,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,False,0,0.75,1000,0,1,1,1,3,True,10373,10.566795020679258
blocking-seed44-u1000-reserve_a,blocking,44,CONTRADICTORY_LATE_RESOLUTION,reserve_a,1000,True,0,0.0,1550,,0,0,6,0,False,4750,4.261694988246694
