dependency_density,workflow_size,dependency_only_precision,effectguard_precision,precision_advantage,dependency_only_selected_count,effectguard_selected_count
sparse,10,0.6666666666666666,1.0,0.33333333333333337,6,4
sparse,25,0.3076923076923077,1.0,0.6923076923076923,13,4
sparse,50,0.15384615384615385,1.0,0.8461538461538461,26,4
sparse,100,0.0784313725490196,1.0,0.9215686274509804,51,4
medium,10,0.6666666666666666,1.0,0.33333333333333337,6,4
medium,25,0.3076923076923077,1.0,0.6923076923076923,13,4
medium,50,0.15384615384615385,1.0,0.8461538461538461,26,4
medium,100,0.0784313725490196,1.0,0.9215686274509804,51,4
dense,10,0.6666666666666666,1.0,0.33333333333333337,6,4
dense,25,0.3076923076923077,1.0,0.6923076923076923,13,4
dense,50,0.15384615384615385,1.0,0.8461538461538461,26,4
dense,100,0.0784313725490196,1.0,0.9215686274509804,51,4
