domain,strategy,run_count,correctness_rate,mean_precision,mean_recall,mean_unnecessary_selected,mean_recovery_work,validity_unknown_rate,unsupported_rate,mean_semantic_gap
cloud,blocking,49,1.0,,,0.0,0.0,0.0,0.0,0.0
cloud,checkpoint,49,1.0,,,0.0,0.0,0.0,0.0,0.0
cloud,dependency_only,49,1.0,,,0.0,0.0,0.0,0.0,0.0
cloud,effectguard,49,1.0,,,0.0,0.0,0.0,0.0,0.0
cloud,restart,49,1.0,,,0.0,0.0,0.0,0.0,0.0
procurement,blocking,49,1.0,,,0.0,0.0,0.0,0.0,0.0
procurement,checkpoint,49,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0
procurement,dependency_only,49,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0
procurement,effectguard,49,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0
procurement,restart,49,1.0,0.4,1.0,3.0,10.0,0.0,0.0,0.0
travel,blocking,49,1.0,,,0.0,0.0,0.0,0.0,0.0
travel,checkpoint,49,1.0,0.3333333333333333,1.0,2.0,6.0,0.0,0.0,2.0
travel,dependency_only,49,1.0,0.3333333333333333,1.0,2.0,9.0,0.0,0.0,2.0
travel,effectguard,49,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0
travel,restart,49,1.0,0.16666666666666666,1.0,5.0,11.0,0.0,0.0,2.0
